                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98801,                 2.8839,                 3.5607,                 1.3332,                0.00547,                 0.8933,                0.12121,                 0.0723,                0.00508,                0.85285,                0.11176,                0.07523,                0.92864,                 2.3655,                 3.6784,                 1.3717,                  7e-05,                  7e-05,                  7e-05
                      2,                0.77813,                 1.8816,                 3.1578,                 1.1877,                0.00574,                0.90527,                0.20395,                0.11843,                0.00541,                0.87806,                0.17474,                0.12128,                 1.0318,                 2.7309,                 3.6444,                 1.4371,             0.00014258,             0.00014258,             0.00014258
                      3,                0.79513,                 1.6014,                 2.5995,                 1.1868,                0.00666,                0.92066,                0.26581,                0.16628,                0.00612,                0.87806,                0.24829,                0.16944,                 1.0909,                 2.8334,                 3.4632,                 1.4853,             0.00020723,             0.00020723,             0.00020723
                      4,                0.79559,                  1.499,                 2.2692,                 1.1853,                0.32804,                 0.4127,                0.32975,                0.21678,                0.33801,                0.37133,                0.29679,                0.20668,                 1.0485,                 2.4744,                  3.336,                 1.4037,             0.00026397,             0.00026397,             0.00026397
                      5,                0.78086,                 1.3736,                 2.0509,                 1.1691,                0.44178,                0.22723,                0.36871,                0.23742,                0.44489,                0.23279,                0.36048,                0.25422,                 1.1191,                 2.5149,                 3.1188,                 1.4963,             0.00031278,             0.00031278,             0.00031278
                      6,                0.75976,                 1.2966,                 1.8368,                 1.1352,                0.77306,                0.31924,                0.46062,                0.29613,                0.75943,                0.30545,                0.42979,                0.28694,                 1.2593,                 2.5978,                  3.103,                 1.6319,             0.00035367,             0.00035367,             0.00035367
                      7,                 0.7862,                 1.3445,                 1.6325,                 1.1408,                0.61219,                0.46439,                0.54837,                0.36124,                0.60651,                0.44664,                0.51522,                0.36188,                 1.2609,                  3.076,                  2.833,                 1.6585,             0.00038665,             0.00038665,             0.00038665
                      8,                 0.7196,                  1.204,                 1.4681,                 1.1127,                 0.6352,                0.53538,                0.59846,                0.42424,                0.62768,                 0.5076,                0.56806,                0.40555,                 1.1889,                 2.7321,                 2.5372,                 1.5878,             0.00041171,             0.00041171,             0.00041171
                      9,                0.75831,                 1.2909,                 1.3917,                 1.1266,                 0.5694,                0.47542,                 0.5461,                0.39486,                0.56333,                0.46256,                0.51811,                0.39652,                  1.389,                 3.1458,                   2.89,                 1.7193,             0.00042884,             0.00042884,             0.00042884
                     10,                0.72883,                 1.2043,                 1.3814,                 1.1205,                0.57846,                0.53335,                 0.5887,                0.40752,                 0.5772,                0.52262,                0.57064,                0.44681,                 1.2867,                 2.4967,                 2.5834,                 1.5954,             0.00043805,             0.00043805,             0.00043805
                     11,                0.89337,                 1.6024,                 1.9698,                 1.3164,                0.68926,                0.40423,                0.48997,                0.30828,                0.60781,                  0.378,                 0.4498,                0.28316,                   1.27,                 2.8468,                 2.7451,                 1.6628,             0.00043935,             0.00043935,             0.00043935
                     12,                0.83966,                 1.4882,                 1.7494,                 1.2843,                0.35832,                0.34151,                0.33733,                0.18826,                0.50755,                0.33592,                0.31017,                0.18635,                 1.6632,                 4.0933,                 3.2203,                 2.1965,             0.00043272,             0.00043272,             0.00043272
                     13,                0.85632,                 1.4906,                 1.6678,                 1.2705,                0.63055,                0.54731,                0.50865,                0.31856,                0.62537,                0.52322,                0.47343,                0.34459,                 1.2954,                 2.7849,                 2.5616,                 1.7289,               0.000406,               0.000406,               0.000406
                     14,                0.78597,                 1.3862,                 1.5455,                 1.2198,                0.63239,                0.55649,                 0.6216,                0.43277,                0.60216,                0.52729,                0.57446,                0.42255,                 1.2389,                 3.0246,                 2.3967,                 1.6508,              0.0003565,              0.0003565,              0.0003565
                     15,                0.74161,                 1.2339,                 1.3966,                 1.1802,                0.73541,                0.58341,                0.63776,                0.46899,                0.70485,                0.55985,                0.59394,                0.47073,                 1.1108,                 2.4756,                 2.1596,                 1.4998,               0.000307,               0.000307,               0.000307
                     16,                0.73007,                 1.1582,                  1.353,                 1.1661,                0.72182,                0.51047,                0.57675,                0.42971,                0.70276,                0.49579,                0.54986,                0.44233,                 1.1577,                 2.1483,                 2.2058,                 1.5164,              0.0002575,              0.0002575,              0.0002575
                     17,                0.68597,                 1.0948,                 1.2641,                 1.1441,                0.79129,                0.62745,                0.72532,                0.54175,                 0.7692,                0.60886,                0.68568,                0.55119,                 1.0879,                 2.1223,                 1.8935,                 1.4601,               0.000208,               0.000208,               0.000208
                     18,                0.64368,                0.96495,                 1.1919,                 1.1216,                0.70906,                0.70462,                0.76453,                0.56875,                0.69055,                0.67691,                0.72234,                0.58789,                  1.037,                 2.0613,                 1.7609,                 1.4078,              0.0001585,              0.0001585,              0.0001585
                     19,                0.63915,                0.99632,                 1.1887,                  1.104,                0.79385,                0.63555,                0.77014,                0.58768,                0.78415,                0.62708,                0.73797,                0.60933,                 1.0223,                 1.9356,                 1.7719,                 1.3992,               0.000109,               0.000109,               0.000109
                     20,                0.60971,                0.94762,                 1.1429,                 1.0988,                0.75501,                0.69059,                0.78939,                0.60791,                0.75416,                 0.6827,                0.76427,                 0.6329,                0.98883,                  1.779,                 1.6297,                 1.3709,               5.95e-05,               5.95e-05,               5.95e-05
