(선)게발,서산,중,망,2,"12,000","12,000","12,000",2014-06-04
(선)깐홍합,여수,소,box,132,"7,000","3,600","6,000",2014-06-04
(선)돔,목포,4미,S/P,2,"40,000","30,000","35,000",2014-06-04
(선)민대구,제주도,중,S/P,1,"50,000","50,000","50,000",2014-06-04
(선)민어,완도,중,S/P,11.8,"23,000","15,000","17,400",2014-06-04
(선)병어,삼천포,22미,S/P,1,"250,000","250,000","250,000",2014-06-04
(선)병어,통영,32미,S/P,2,"360,000","360,000","360,000",2014-06-04
(냉)부세,중국,400/500,CT/(BT),100,"23,200","23,200","23,200",2014-06-04
(냉)아귀,미국,대,CT/(BT),15,"120,000","120,000","120,000",2014-06-04
(선)오징어,속초,중,S/P,159,"9,000","5,000","6,500",2014-06-04
(선)오징어,구룡포,25미,S/P,9,"15,000","15,000","15,000",2014-06-04
(냉건)오징어채,기타(원양),대,CT/(BT),5,"25,000","25,000","25,000",2014-06-04
(활)왕게,러시아,중,kg,236.2,"36,000","13,000","28,500",2014-06-04
(선)은갈치,제주도,6미,S/P,8,"155,000","135,000","144,400",2014-06-04
(선)은갈치,제주도,20미,S/P,103,"80,000","20,000","46,200",2014-06-04
(선)은갈치,제주도,2미,S/P,2,"110,000","90,000","100,000",2014-06-04
(활)전복,완도,22미,kg,21,"27,000","27,000","27,000",2014-06-04
(활)전복,완도,10/11미,kg,11.2,"40,000","40,000","40,000",2014-06-04
(선)참가자미,군산,중,S/P,297.8,"60,000","1,500","23,100",2014-06-04
(활)참돔,일본,중,kg,357.4,"15,000","8,000","11,900",2014-06-04
(선)가자미,속초,14미,S/P,34,"5,000","5,000","5,000",2014-06-04
(선)가자미,동해시,5미,S/P,10,"13,000","13,000","13,000",2014-06-04
(선)고등어,부산(기장),35미,S/P,7,"15,000","15,000","15,000",2014-06-04
(선)골뱅이,죽변,중,c/s(상자),30,"10,000","10,000","10,000",2014-06-04
(선)금태,삼천포,15미,S/P,1,"100,000","100,000","100,000",2014-06-04
(선)다랑어,삼척,중,S/P,1,"198,000","198,000","198,000",2014-06-04
(선)대구,방어진,6미,c/s(상자),3,"30,000","30,000","30,000",2014-06-04
(선)만디,마산,대,box,14,"10,300","10,300","10,300",2014-06-04
(선)민어,완도,중,kg,7.9,"40,000","20,000","33,900",2014-06-04
(선)병어,통영,38미,S/P,3,"450,000","450,000","450,000",2014-06-04
(냉)부세,중국,300/400,CT/(BT),150,"21,500","21,500","21,500",2014-06-04
(선)삼치,태안,12미,S/P,80,"22,000","22,000","22,000",2014-06-04
(선)암꽃게,목포,중,S/P,6,"95,000","18,000","71,300",2014-06-04
(선)은갈치,제주도,8미,S/P,29,"150,000","100,000","133,700",2014-06-04
(활)전복,완도,중,kg,160,"24,000","24,000","24,000",2014-06-04
(활)전복,완도,23/24미,kg,45,"26,000","26,000","26,000",2014-06-04
(선)참가자미,군산,소,S/P,12,"23,000","12,000","22,100",2014-06-04
(활)참돔,서천,중,kg,130.6,"30,000","11,000","14,900",2014-06-04
(선)참돔,일본,중,kg,138.9,"3,000","1,000","1,800",2014-06-04
(냉)홍다리얼룩새우,태국,20미,kg,2,"19,500","19,500","19,500",2014-06-04
(선)가오리,축산,중,S/P,1,"100,000","100,000","100,000",2014-06-04
(선)가자미,보령,12미,S/P,1,"20,000","20,000","20,000",2014-06-04
(선)갯장어,제주도,중,S/P,9,"24,500","16,000","22,200",2014-06-04
(선)골뱅이,포항,중,S/P,60,"15,000","10,000","12,900",2014-06-04
(선)낙지,중국,18미,box,66,"18,000","18,000","18,000",2014-06-04
(선)다랑어,부산(기장),대,S/P,7,"10,000","10,000","10,000",2014-06-04
(선)대구,후포,1미,S/P,7,"30,000","20,000","21,400",2014-06-04
(활)문어,충무,중,kg,190.7,"14,000","10,000","13,800",2014-06-04
(선)병어,통영,30미,S/P,3,"360,000","320,000","333,300",2014-06-04
(선)병어,제주도,중,S/P,1,"105,400","105,400","105,400",2014-06-04
(선)삼치,인천,중,S/P,255,"6,500","6,000","6,000",2014-06-04
(선)아귀,군산,중,S/P,3,"1,000","1,000","1,000",2014-06-04
(선)아귀,목포,6미,S/P,1,"10,000","10,000","10,000",2014-06-04
(선)오징어,속초,20미,S/P,952,"11,000","9,000","9,500",2014-06-04
(선)오징어,구룡포,30미,S/P,103,"8,000","8,000","8,000",2014-06-04
(선)우럭,충무,중,kg,208.2,"10,000","8,000","8,600",2014-06-04
(활)전복,완도,17/18미,kg,57.2,"28,000","28,000","28,000",2014-06-04
(활)전복,완도,35/40미,kg,18.6,"22,000","22,000","22,000",2014-06-04
(활)참돔,일본,소,kg,84.6,"15,000","13,000","14,200",2014-06-04
(가공)코다리,러시아,4X14,CT/(BT),23,"38,000","38,000","38,000",2014-06-04
(선)간재미,완도,중,미(마리),15,"1,800","1,800","1,800",2014-06-04
(선)개조개(살),중국,소,box,26,"4,500","4,000","4,100",2014-06-04
(선)고등어,부산(기장),20미,S/P,59,"45,000","35,000","36,700",2014-06-04
(선)골뱅이,죽변,대,S/P,14,"15,000","15,000","15,000",2014-06-04
(선)금태,제주도,중,S/P,14,"80,000","30,000","47,900",2014-06-04
(선)깐바지락,여수,대,box,15,"130,000","130,000","130,000",2014-06-04
(선)낙지,중국,12미,box,18,"19,800","19,800","19,800",2014-06-04
(선)대구,방어진,4미,c/s(상자),1,"30,000","30,000","30,000",2014-06-04
(선)대구,속초,4미,S/P,247,"15,000","10,000","11,100",2014-06-04
(선)병어,부산(기장),중,S/P,8.2,"15,000","15,000","15,000",2014-06-04
(선)송어,목포,중,S/P,10,"10,000","10,000","10,000",2014-06-04
(선)아귀,목포,9미,S/P,28,"5,000","5,000","5,000",2014-06-04
(선)암꽃게,진도,중,S/P,1,"120,000","120,000","120,000",2014-06-04
(선)은갈치,제주도,4미,S/P,8,"145,000","40,000","125,000",2014-06-04
(선)전갱이,통영,5미,S/P,16,"20,000","20,000","20,000",2014-06-04
(활)전복,완도,9/10미,kg,31.7,"45,000","42,000","43,900",2014-06-04
(활)토바지락,중국,대,box,232,"4,500","1,200","2,700",2014-06-04
