                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94301,                 2.5556,                  3.627,                 1.2713,                0.00792,                0.91806,                0.11259,                 0.0739,                0.00777,                0.89836,                0.10089,                0.07005,                0.75409,                 1.7756,                 3.4581,                 1.2966,             0.00016918,             0.00016918,             0.00016918
                      2,                0.85923,                 1.7161,                 2.6093,                 1.2052,                0.57841,                0.16215,                0.33746,                0.23571,                0.57853,                0.16274,                 0.3262,                 0.2437,                0.97136,                 1.7389,                 2.7203,                 1.4504,             0.00033463,             0.00033463,             0.00033463
                      3,                0.90529,                 1.6638,                 2.0776,                 1.2297,                0.41977,                0.38118,                0.36785,                 0.2631,                 0.4146,                0.37412,                0.34267,                0.26308,                0.95804,                 1.7811,                 2.4973,                 1.4727,             0.00048841,             0.00048841,             0.00048841
                      4,                 0.8899,                 1.6145,                  1.863,                 1.1986,                0.43682,                0.50898,                0.44589,                 0.3061,                0.43097,                0.44486,                0.41824,                0.30786,                0.99888,                 1.9444,                 2.0933,                 1.5189,             0.00063051,             0.00063051,             0.00063051
                      5,                 0.8898,                 1.6195,                 1.7887,                 1.2165,                0.56916,                0.47934,                0.51605,                0.34612,                0.53957,                0.48134,                0.50112,                0.34839,                 1.0786,                 1.9917,                 2.1815,                 1.5602,             0.00066749,             0.00066749,             0.00066749
                      6,                0.84337,                 1.5422,                 1.6456,                 1.1766,                0.53939,                0.46444,                0.47775,                0.32586,                0.49667,                0.42458,                0.44509,                0.31929,                 1.1449,                 2.0631,                 2.1892,                 1.6856,             0.00064212,             0.00064212,             0.00064212
                      7,                0.84497,                 1.5393,                 1.5253,                 1.1738,                0.56479,                0.59143,                0.58677,                0.38479,                0.56015,                0.57523,                0.56172,                0.39691,                 1.0637,                 2.2543,                 1.8565,                 1.5503,             0.00061674,             0.00061674,             0.00061674
                      8,                 0.7949,                 1.4372,                  1.431,                 1.1437,                0.61803,                0.62326,                0.62664,                0.39773,                0.60976,                0.61189,                 0.6102,                0.41786,                 1.0542,                 1.7738,                 1.8418,                 1.5294,             0.00059136,             0.00059136,             0.00059136
                      9,                0.77645,                 1.4198,                 1.3736,                 1.1392,                0.62006,                0.54798,                0.57115,                0.39307,                0.62248,                0.51789,                0.54739,                0.40174,                 1.1042,                 1.9565,                 1.9591,                 1.5216,             0.00056598,             0.00056598,             0.00056598
                     10,                0.76471,                 1.3928,                 1.3367,                 1.1294,                0.74575,                0.62301,                0.69407,                0.48586,                0.69163,                0.64514,                0.67423,                0.50272,                0.98367,                 1.5411,                 1.5326,                 1.4389,             0.00054061,             0.00054061,             0.00054061
                     11,                0.74527,                 1.3871,                 1.2801,                 1.1221,                0.69019,                 0.6906,                0.74661,                0.55674,                0.68909,                0.67663,                0.72174,                0.56125,                0.91041,                 1.4294,                  1.457,                 1.4043,             0.00051523,             0.00051523,             0.00051523
                     12,                0.72651,                 1.2961,                 1.2625,                 1.1082,                0.71145,                0.63428,                0.69456,                 0.4776,                0.69244,                0.60537,                0.64892,                0.46945,                0.94714,                 1.9245,                 1.5439,                 1.4625,             0.00048985,             0.00048985,             0.00048985
                     13,                 0.7266,                 1.3029,                 1.1674,                 1.0992,                0.65597,                 0.6786,                0.72147,                0.52172,                  0.659,                0.63847,                0.67698,                 0.5154,                0.89628,                 1.5096,                 1.5448,                 1.3918,             0.00046448,             0.00046448,             0.00046448
                     14,                  0.693,                 1.1829,                 1.1527,                 1.0969,                0.73173,                0.67004,                0.76133,                0.56662,                0.73519,                0.66799,                0.75843,                0.58261,                0.85713,                 1.3247,                 1.4498,                 1.3586,              0.0004391,              0.0004391,              0.0004391
                     15,                0.66308,                 1.1952,                  1.049,                 1.0591,                0.56174,                0.57202,                0.61595,                0.41045,                0.48887,                0.60509,                0.56993,                0.38426,                 1.0738,                 2.1349,                 1.6071,                 1.5215,             0.00041372,             0.00041372,             0.00041372
                     16,                0.66716,                 1.1883,                 1.0393,                 1.0685,                0.73353,                0.76286,                0.78356,                0.60213,                0.71244,                0.74342,                0.75069,                0.57782,                0.80019,                 1.5272,                 1.1436,                  1.299,             0.00038835,             0.00038835,             0.00038835
                     17,                0.65694,                  1.152,                 1.0338,                 1.0576,                0.69661,                 0.7066,                0.73546,                0.57698,                0.69291,                0.71074,                0.72913,                0.57676,                0.78281,                 1.3909,                 1.3663,                 1.2672,             0.00036297,             0.00036297,             0.00036297
                     18,                0.66263,                 1.2012,                 1.0028,                  1.063,                0.75924,                0.72418,                0.78531,                0.62739,                0.74127,                0.70913,                0.75914,                0.61057,                0.74414,                 1.2663,                 1.1567,                 1.2563,             0.00033759,             0.00033759,             0.00033759
                     19,                  0.616,                  1.045,                0.95275,                 1.0449,                0.78608,                 0.7571,                0.82224,                0.61746,                 0.7695,                0.73633,                 0.7905,                0.61999,                0.81209,                 1.3097,                 1.1125,                 1.3245,             0.00031221,             0.00031221,             0.00031221
