(선)갯장어,나로도,중,S/P,6,"17,000","17,000","17,000",2013-10-19
(활)겉바지락,고창,대,그물망,81,"28,000","27,000","27,800",2013-10-19
(선)깐홍합,여수,소,box,233,"8,000","5,300","6,600",2013-10-19
(냉)낙지,중국,중,CT/(BT),5,"30,000","30,000","30,000",2013-10-19
(활)농어,격포,중,kg,57.6,"18,000","1,000","16,000",2013-10-19
(선)대구,보령,4미,c/s(상자),28,"40,000","40,000","40,000",2013-10-19
(냉)복어,제주도,14/15미,CT/(BT),60,"37,000","35,000","36,000",2013-10-19
(냉)부세,중국,400/500,CT/(BT),50,"25,000","25,000","25,000",2013-10-19
(활)새꼬막,태안,중,그물망,5,"65,000","65,000","65,000",2013-10-19
(냉)수꽃게,인천,중,S/P,103,"50,000","50,000","50,000",2013-10-19
(선)아귀,군산,8미,S/P,7,"60,000","57,000","57,400",2013-10-19
(선)아귀,군산,10미,S/P,5,"60,000","60,000","60,000",2013-10-19
(냉)아귀,중국,5미,CT/(BT),20,"80,000","24,000","38,500",2013-10-19
(냉)아귀,중국,4미,CT/(BT),120,"28,000","25,000","26,800",2013-10-19
(활)암꽃게,화성,대,kg,70,"17,100","17,100","17,100",2013-10-19
(선)연어,포항,대,S/P,12,"26,500","15,000","21,700",2013-10-19
(선)은갈치,제주도,20미,S/P,2,"42,000","42,000","42,000",2013-10-19
(선)잿방어,강구,대,S/P,11.7,"3,000","3,000","3,000",2013-10-19
(활)전복,대천,6미,kg,1,"88,000","88,000","88,000",2013-10-19
(선)참조기,제주도,160미,S/P,76,"50,000","40,000","46,500",2013-10-19
(선)갑오징어,방어진,6미,S/P,17,"7,000","7,000","7,000",2013-10-19
(활)겉삐뚜리,인천,중,그물망,1,"32,000","32,000","32,000",2013-10-19
(냉)꽁치,대만,L,CT/(BT),100,"16,000","16,000","16,000",2013-10-19
(선)넙치,군산,소,S/P,4,"7,000","7,000","7,000",2013-10-19
(선)농어,서산,중,kg,190,"2,700","2,700","2,700",2013-10-19
