(선)가자미,방어진,55미,S/P,12,"80,000","80,000","80,000",2013-04-30
(선)갯장어,나로도,중,S/P,15,"19,000","17,000","18,300",2013-04-30
(선)게발,태안,중,S/P,1,"16,000","16,000","16,000",2013-04-30
(선)금태,목포,5단,c/s(상자),8,"15,000","15,000","15,000",2013-04-30
(선)깐홍합,여수,소,box,256,"9,500","6,000","7,400",2013-04-30
(선)꽁치,죽변,중,c/s(상자),130,"11,000","11,000","11,000",2013-04-30
(선)꽁치,후포,60미,c/s(상자),259,"11,500","11,000","11,100",2013-04-30
(냉)낙지,중국,중,CT/(BT),5,"25,000","25,000","25,000",2013-04-30
(선)넙치,대천,중,S/P,16,"25,000","25,000","25,000",2013-04-30
(활)농어,격포,중,kg,68.8,"20,000","3,000","8,300",2013-04-30
(선)대게,속초,10미,S/P,4,"30,000","30,000","30,000",2013-04-30
(선)명태,일본,18미,S/P,272,"30,000","25,000","28,700",2013-04-30
(선)새치,속초,20미,S/P,12,"13,000","13,000","13,000",2013-04-30
(냉)아귀,중국,5미,CT/(BT),15,"80,000","30,000","63,300",2013-04-30
(냉)아귀,중국,4미,CT/(BT),10,"32,000","32,000","32,000",2013-04-30
(선)은갈치,제주도,11미,S/P,1,"165,000","165,000","165,000",2013-04-30
(선)은갈치,제주도,20미,S/P,16,"45,000","20,000","41,200",2013-04-30
(선)잿방어,삼천포,대,S/P,1,"57,000","57,000","57,000",2013-04-30
(활)전복,완도,22미,kg,104.4,"24,000","24,000","24,000",2013-04-30
(선)청어,임원,15미,S/P,40,"4,000","4,000","4,000",2013-04-30
(선)게발,서산,중,망,8,"18,500","12,000","17,700",2013-04-30
(선)골뱅이,속초,중,S/P,112,"7,000","7,000","7,000",2013-04-30
(활)돌게,태안,중,kg,60,"10,000","10,000","10,000",2013-04-30
(냉)멸치,남해,중,PAN(펜),105,"23,000","23,000","23,000",2013-04-30
(냉)명태포,러시아,8/9미,CT/(BT),50,"40,000","40,000","40,000",2013-04-30
(활)봉바지락,기타(국내),대,box,34,"8,000","7,200","7,400",2013-04-30
(활)소라,순천,대,box,6,"105,000","105,000","105,000",2013-04-30
(활)소라,여수,대,box,1,"60,000","60,000","60,000",2013-04-30
(활)소라,고흥,중,그물망,50,"92,300","83,100","88,600",2013-04-30
(선)아귀,목포,중,c/s(상자),84,"85,000","17,000","29,400",2013-04-30
(활)암꽃게,목포,대,kg,55,"23,000","23,000","23,000",2013-04-30
(선)은갈치,제주도,25미,S/P,25,"23,000","17,000","20,200",2013-04-30
(선)은갈치,제주도,6미,S/P,15,"180,000","146,000","151,100",2013-04-30
(선)잿방어,강구,대,S/P,132.6,"13,000","6,000","11,500",2013-04-30
(활)전복,완도,11미,kg,124.5,"36,000","28,000","30,700",2013-04-30
(활)전복,완도,10/11미,kg,22.7,"37,000","37,000","37,000",2013-04-30
(활)진주담치,마산,소,그물망,5,"7,000","7,000","7,000",2013-04-30
(활)참돔,일본,중,kg,561.5,"22,000",800,"18,300",2013-04-30
(활)참돔,제주도,중,kg,11.8,"28,000","7,000","17,500",2013-04-30
(가공)해물탕,동해시,중,CT/(BT),400,"25,000","25,000","25,000",2013-04-30
(활)가무락,순천,대,그물망,5,"100,000","100,000","100,000",2013-04-30
(활)가무락(대롱),순천,중,그물망,40,"41,100","41,100","41,100",2013-04-30
(활)겉바지락,남해,대,그물망,20,"55,000","55,000","55,000",2013-04-30
(선)고등어,제주도,20미,S/P,20,"60,000","60,000","60,000",2013-04-30
(선)금태,부산(기장),1단,S/P,6,"40,000","40,000","40,000",2013-04-30
(냉건)대구포,삼천포,15미,S/P,2,"10,000","10,000","10,000",2013-04-30
(냉)명태포,러시아,15/20미,CT/(BT),200,"35,000","35,000","35,000",2013-04-30
(선)병어,부산(기장),42미,S/P,9,"300,000","200,000","233,300",2013-04-30
(선)병어,삼천포,46미,S/P,2,"220,000","150,000","185,000",2013-04-30
(선)병어,삼천포,44미,S/P,2,"250,000","250,000","250,000",2013-04-30
(냉)부세,중국,300/400,CT/(BT),100,"22,600","20,000","21,300",2013-04-30
(선)삼세기,목포,중,S/P,1,"15,000","15,000","15,000",2013-04-30
(선)수꽃게,진도,대,S/P,1,"60,000","60,000","60,000",2013-04-30
(선)양태,안흥,중,S/P,122.2,"9,000","3,000","5,600",2013-04-30
(냉)오징어,후포,20미,S/P,510,"35,000","33,500","34,600",2013-04-30
(선)은갈치,제주도,8미,S/P,97,"182,000","80,000","133,900",2013-04-30
(활)전복,완도,중,kg,752,"24,000","24,000","24,000",2013-04-30
(활)쭈꾸미,중국,소,가구,30,"60,000","60,000","60,000",2013-04-30
(활)참숭어,안흥,중,kg,182.8,"2,000",300,600,2013-04-30
(냉)홍다리얼룩새우,태국,20미,kg,5,"19,000","19,000","19,000",2013-04-30
(냉)가오리,삼천포,7미,S/P,2,"10,000","10,000","10,000",2013-04-30
(선)갈치,부산(기장),대,S/P,10,"70,000","27,000","41,300",2013-04-30
(활)감성돔,영광,중,kg,6.9,"22,000","8,000","12,800",2013-04-30
(선)금태,제주도,중,S/P,12,"150,000","25,000","63,800",2013-04-30
(선)꽁치,축산,60미,c/s(상자),500,"11,000","11,000","11,000",2013-04-30
(선)병어,죽변,중,S/P,5,"40,000","40,000","40,000",2013-04-30
(활)암꽃게,안흥,중,kg,40,"24,000","24,000","24,000",2013-04-30
(활)우럭,안흥,중,kg,13.3,"15,000","3,500","9,600",2013-04-30
(선)우럭,충무,중,kg,122.5,"9,000","5,500","6,700",2013-04-30
(활)전복,완도,35/40미,kg,57,"15,000","15,000","15,000",2013-04-30
(선)전어,목포,진통,c/s(상자),1,"8,000","8,000","8,000",2013-04-30
(활)진주담치,여수,소,그물망,38,"6,000","5,600","5,800",2013-04-30
(활)참돔,일본,소,kg,82.9,"21,000","18,800","20,000",2013-04-30
(냉)철갑복,기타(원양),중,CT/(BT),12,"50,000","50,000","50,000",2013-04-30
(냉)청복,중국,중,CT/(BT),14,"10,000","10,000","10,000",2013-04-30
(냉건)코다리명태,(원양)러시아,4X14,CT/(BT),22,"33,000","33,000","33,000",2013-04-30
(활)토바지락,중국,대,box,302,"6,200","5,500","5,900",2013-04-30
(선)홍다리얼룩새우,태국,30미,kg,40,"17,000","17,000","17,000",2013-04-30
(활)홍어,대천,중,kg,16.3,"13,000","9,000","10,900",2013-04-30
(냉)흰다리새우,에콰도르,50미,kg,36,"8,000","8,000","8,000",2013-04-30
(선)간재미,군산,중,S/P,20,"5,000","2,500","3,900",2013-04-30
(활)감성돔,중국,중,kg,13.1,"20,000","11,000","16,800",2013-04-30
(선)깐바지락,여수,대,box,35,"115,000","115,000","115,000",2013-04-30
(선)돔,부산(기장),중,S/P,24,"40,000","40,000","40,000",2013-04-30
(선)돔,통영,중,S/P,1,"10,000","10,000","10,000",2013-04-30
(활)물바지락,남해,대,box,10,"40,000","40,000","40,000",2013-04-30
(선)삼치,부산(기장),6미,S/P,2,"35,000","35,000","35,000",2013-04-30
(선)삼치,삼천포,대,S/P,1,"80,000","80,000","80,000",2013-04-30
(냉)삼치,부산(기장),28미,CT/(BT),20,"25,000","25,000","25,000",2013-04-30
(냉)삼치,마산,3단,CT/(BT),80,"62,600","62,600","62,600",2013-04-30
(선)상어,목포,중,c/s(상자),13,"10,000","10,000","10,000",2013-04-30
(선)아귀,나로도,중,S/P,1,"10,000","10,000","10,000",2013-04-30
(선)암꽃게,격포,중,S/P,30,"66,000","66,000","66,000",2013-04-30
(선)암꽃게,진도,중,S/P,6,"76,000","41,000","66,200",2013-04-30
(선)옥돔,제주도,중,S/P,4,"50,000","50,000","50,000",2013-04-30
(선)은갈치,제주도,4미,S/P,3,"200,000","160,000","173,300",2013-04-30
(냉)은갈치,제주도,32미,CT/(BT),6,"140,000","140,000","140,000",2013-04-30
(선)잡어,군산,중,S/P,21.9,"22,000",500,"4,200",2013-04-30
(냉건)코다리명태,(원양)러시아,4X18,CT/(BT),1,"34,000","34,000","34,000",2013-04-30
(선)키조개히라,군산,3봉,box,1,"23,100","23,100","23,100",2013-04-30
(선)감숭어,안흥,중,kg,813,"1,000",200,400,2013-04-30
(활)겉삐뚜리,군산,대,box,4,"83,000","81,000","81,500",2013-04-30
(활)넙치,격포,중,kg,"2,278","15,000",600,"3,900",2013-04-30
(선)넙치,안흥,중,S/P,97.9,"3,500","3,000","3,300",2013-04-30
(선)넙치,목포,중,S/P,28,"30,000","25,000","27,400",2013-04-30
(선)넙치,군산,중,S/P,99.3,"5,000","2,000","3,300",2013-04-30
(선)대구,동해시,대,S/P,2,"100,000","100,000","100,000",2013-04-30
(선)만디,고성,소,box,188,"4,400","3,700","4,200",2013-04-30
(선)삼치,통영,10미,S/P,59,"25,000","25,000","25,000",2013-04-30
(선)삼치,부산(기장),대,S/P,51.7,"80,000","4,000","13,900",2013-04-30
(활)수꽃게,서산,중,kg,130,"9,300","9,300","9,300",2013-04-30
(선)아귀,안흥,중,S/P,12.8,"3,000","2,200","2,700",2013-04-30
