(활)겉삐뚜리,인천,중,그물망,7,"75,000","75,000","75,000",2012-04-05,,,
(선)깐홍합,여수,소,box,395,"15,500","10,000","14,200",2012-04-05,,,
(선)물메기,보령,중,c/s(상자),3,"20,000","20,000","20,000",2012-04-05,,,
(활)봉바지락,기타(국내),대,box,70,"8,000","8,000","8,000",2012-04-05,,,
(선)서대,보령,4미,S/P,2,"22,000","22,000","22,000",2012-04-05,,,
(냉)아귀,중국,5미,CT/(BT),20,"30,000","30,000","30,000",2012-04-05,,,
(냉)아귀,중국,4미,CT/(BT),25,"30,000","30,000","30,000",2012-04-05,,,
(냉)오징어,후포,중,S/P,20,"26,000","26,000","26,000",2012-04-05,,,
(선)은갈치,제주도,6미,S/P,1,"105,000","105,000","105,000",2012-04-05,,,
(선)은갈치,제주도,2미,S/P,1,"90,000","90,000","90,000",2012-04-05,,,
(활)전복,완도,22미,kg,34,"27,000","27,000","27,000",2012-04-05,,,
(활)전복,완도,10/11미,kg,56.1,"43,000","40,000","41,200",2012-04-05,,,
(냉)조기,부산(기장),10단,CT/(BT),30,"50,000","50,000","50,000",2012-04-05,,,
(선)쭈꾸미,태국,중,S/P,20,"40,000","40,000","40,000",2012-04-05,,,
(활)참돔,일본,중,kg,"2,194.5","20,000","6,000","17,600",2012-04-05,,,
(활)참돔,제주도,중,kg,39.5,"35,000","22,000","32,600",2012-04-05,,,
(선)참조기,제주도,160미,S/P,43,"80,000","66,000","75,900",2012-04-05,,,
(선)청어,통영,중,S/P,57,"5,000","5,000","5,000",2012-04-05,,,
(냉건)코다리명태,러시아,4X12,CT/(BT),12,"34,000","34,000","34,000",2012-04-05,,,
(활)감성돔,제주도,중,kg,6,"20,000","20,000","20,000",2012-04-05,,,
(활)감숭어,여수,중,kg,"1,708.9","9,800",500,"2,700",2012-04-05,,,
(활)겉바지락,남해,대,그물망,10,"60,000","60,000","60,000",2012-04-05,,,
(선)고등어,부산(기장),35미,S/P,24,"15,000","15,000","15,000",2012-04-05,,,
(선)골뱅이,속초,중,S/P,262,"7,000","7,000","7,000",2012-04-05,,,
(냉건)굴비,영광,중,CT/(BT),70,"77,000","77,000","77,000",2012-04-05,,,
(냉)낙지,중국,100/150,CT/(BT),40,"25,000","25,000","25,000",2012-04-05,,,
(냉)부세,중국,300/400,CT/(BT),100,"29,900","29,900","29,900",2012-04-05,,,
(활)소라,여수,대,box,1,"60,000","60,000","60,000",2012-04-05,,,
(냉)오징어,후포,20미,S/P,500,"33,500","27,000","32,200",2012-04-05,,,
(선)우럭,충무,중,kg,264,"5,500","5,500","5,500",2012-04-05,,,
(활)전복,완도,27/28미,kg,11.2,"27,000","27,000","27,000",2012-04-05,,,
(활)전복,완도,17/18미,kg,4.2,"30,000","30,000","30,000",2012-04-05,,,
(활)전복,고흥,22미,kg,23,"27,000","27,000","27,000",2012-04-05,,,
(활)전복,완도,11미,kg,47,"41,000","39,000","39,700",2012-04-05,,,
(활)쭈꾸미,인천,소,그물망,104,"95,000","61,000","92,900",2012-04-05,,,
(냉)철갑복,기타(원양),중,CT/(BT),2,"50,000","50,000","50,000",2012-04-05,,,
(냉)청복,마산,중,CT/(BT),6,"15,000","15,000","15,000",2012-04-05,,,
(선)홍다리얼룩새우,태국,30미,kg,50,"17,000","17,000","17,000",2012-04-05,,,
(냉)가오리,브라질,중,CT/(BT),55,"30,000","30,000","30,000",2012-04-05,,,
(활)감성돔,중국,중,kg,47.7,"32,000","20,000","25,700",2012-04-05,,,
(활)감숭어,나로도,중,kg,246.8,"8,000",500,"2,700",2012-04-05,,,
(냉)갯장어,(원양)인도네시아,2L,CT/(BT),8,"40,000","40,000","40,000",2012-04-05,,,
(활)겉삐뚜리,진도,소,그물망,1,"45,000","45,000","45,000",2012-04-05,,,
(선)고등어,부산(기장),44미,S/P,200,"15,000","15,000","15,000",2012-04-05,,,
