(선)가자미,방어진,중,S/P,4,"100,000","100,000","100,000",2024-04-03
(활)강도다리,제주도,중,kg,155.6,"23,000","8,000","14,600",2024-04-03
(선)고등어,제주도,대,S/P,2,"22,000","22,000","22,000",2024-04-03
(선)깐바지락,순천,소,box,18,"24,000","24,000","24,000",2024-04-03
(선)깐바지락,삼천포,소,box,184,"25,500","18,500","21,200",2024-04-03
(선)꼴뚜기,여수,6봉,봉지,6,"9,200","9,200","9,200",2024-04-03
(활)도다리,서산,중,kg,15.1,"10,000","4,000","6,500",2024-04-03
(활)물바지락,삼천포,대,box,1,"75,200","75,200","75,200",2024-04-03
(선)미더덕,마산,소,box,78,"18,000","11,800","16,300",2024-04-03
(선)민어,제주도,3미,S/P,1,"132,000","132,000","132,000",2024-04-03
(활)뿔소라,제주도,대,box,4,"88,000","87,500","87,600",2024-04-03
(선)삼치,부산(기장),5미,S/P,1,"200,000","200,000","200,000",2024-04-03
(선)삼치,부산(기장),3미,S/P,7,"215,000","180,000","195,600",2024-04-03
(활)소라,장항,대,box,15,"121,000","62,100","95,500",2024-04-03
(선)아귀,태안,중,kg,140.2,"5,000","2,200","3,300",2024-04-03
(활)암꽃게,태안,대,kg,34,"33,500","15,000","21,600",2024-04-03
(선)전어,나로도,대,S/P,8,"8,000","8,000","8,000",2024-04-03
(선)쭈꾸미,중국,33미,box,312,"21,600","18,200","19,500",2024-04-03
(선)쭈꾸미,중국,26미,box,5,"20,500","20,500","20,500",2024-04-03
(선)참조기,제주도,20미,S/P,2,"315,000","315,000","315,000",2024-04-03
(선)간재미,안흥,중,kg,615,"1,700","1,000","1,000",2024-04-03
(선)금태,나로도,10미,S/P,1,"30,000","30,000","30,000",2024-04-03
(선)깐바지락,여수,소,box,57,"24,500","19,000","22,200",2024-04-03
(선)깐홍합,마산,소,box,10,"3,000","3,000","3,000",2024-04-03
(선)낙지,중국,21미,box,30,"14,600","14,600","14,600",2024-04-03
(선)다랑어,축산,대,S/P,1,"140,000","140,000","140,000",2024-04-03
(선)대구,속초,6미,S/P,7,"10,000","10,000","10,000",2024-04-03
(활)도다리,안흥,중,kg,707.8,"15,000","1,000","5,600",2024-04-03
(선)민어,제주도,중,S/P,1,"111,000","111,000","111,000",2024-04-03
(선)부시리,여수,대,S/P,30,"6,000","4,000","5,400",2024-04-03
(선)아귀,안흥,중,kg,404.7,"4,500","1,100","2,400",2024-04-03
(선)암꽃게,태안,중,S/P,1,"55,000","55,000","55,000",2024-04-03
(선)오징어,제주도,25미,S/P,5,"65,000","65,000","65,000",2024-04-03
(활)전복,완도,13미,kg,12,"19,500","19,500","19,500",2024-04-03
(활)참돔,통영,중,kg,55.5,"15,000","11,000","12,300",2024-04-03
(선)참돔,완도,1미,kg,4.5,"7,000","7,000","7,000",2024-04-03
(활)피꼬막(피조개),여수,중,그물망,10,"24,100","23,500","24,000",2024-04-03
(활)해삼,여수,소,box,28,"26,800","23,700","24,500",2024-04-03
(활)해삼,통영,소,box,40,"35,800","30,000","32,400",2024-04-03
(선)황돔(뱅꼬),제주도,16미,S/P,1,"115,000","115,000","115,000",2024-04-03
(활)가리비,삼천포,중,box,31,"24,600","24,000","24,400",2024-04-03
(선)금태,제주도,대,S/P,3,"15,000","15,000","15,000",2024-04-03
(선)금태,제주도,40미,S/P,1,"112,000","112,000","112,000",2024-04-03
(선)까치복,제주도,대,S/P,41.9,"8,000","7,000","7,500",2024-04-03
(선)낙지,중국,20미,box,86,"15,700","15,700","15,700",2024-04-03
(선)넙치,군산,대,S/P,79.2,"7,000","3,000","5,000",2024-04-03
(선)도다리,대천,중,kg,230.9,"14,000","2,000","9,500",2024-04-03
(선)만디,여수,소,box,9,"6,100","5,500","5,900",2024-04-03
(선)민어,제주도,4미,S/P,3,"198,000","154,000","172,100",2024-04-03
(선)삼치,제주도,7미,S/P,1,"91,000","91,000","91,000",2024-04-03
(선)삼치,강구,중,S/P,1,"106,000","106,000","106,000",2024-04-03
(활)새꼬막,순천,중,그물망,47,"57,000","2,000","26,700",2024-04-03
(활)소라,인천,소,그물망,1,"40,000","40,000","40,000",2024-04-03
(선)아귀,방어진,대,S/P,4,"75,000","60,000","67,500",2024-04-03
(선)연자돔,제주도,24미,S/P,2,"100,000","100,000","100,000",2024-04-03
(선)우럭,남해,12미,S/P,16,"12,000","12,000","12,000",2024-04-03
(활)전복,완도,21/22미,kg,72.9,"15,500","15,000","15,400",2024-04-03
(선)전어,완도,중,kg,71.8,"2,000","1,500","1,700",2024-04-03
(선)쭈꾸미,중국,14미,box,50,"21,700","21,600","21,600",2024-04-03
(선)쭈꾸미,중국,38미,box,28,"19,200","19,200","19,200",2024-04-03
(선)가자미,방어진,5미,S/P,5,"40,000","40,000","40,000",2024-04-03
(활)개조개,여수,15미,box,1,"92,500","92,500","92,500",2024-04-03
(냉)게,중국,200/300,S/P,10,"26,000","26,000","26,000",2024-04-03
(선)넙치,태안,중,kg,81.6,"6,500","3,500","5,400",2024-04-03
(활)농어,통영,중,kg,3.8,"18,000","18,000","18,000",2024-04-03
(선)농어,여수,3미,S/P,10.3,"4,000","4,000","4,000",2024-04-03
(선)농어,여수,대,kg,78.5,"5,500","5,500","5,500",2024-04-03
(선)대구,속초,3미,S/P,13,"13,000","13,000","13,000",2024-04-03
(활)소라,군산,중,그물망,6,"98,500","13,500","84,300",2024-04-03
(선)아귀,군산,대,S/P,10,"26,000","26,000","26,000",2024-04-03
(냉)암꽃게,태안,중,S/P,8,"80,000","80,000","80,000",2024-04-03
(냉)오징어,중국,10미,CT/(BT),50,"18,300","18,300","18,300",2024-04-03
(활)전복,완도,8/9미,kg,47.5,"26,000","25,500","25,600",2024-04-03
(냉)조기,중국,40미,CT/(BT),150,"63,500","45,200","55,700",2024-04-03
(선)쭈꾸미,중국,34미,box,150,"21,500","20,800","21,300",2024-04-03
(선)쭈꾸미,중국,43미,box,53,"20,000","17,100","18,900",2024-04-03
(선)쭈꾸미,중국,19미,box,100,"22,000","21,800","22,000",2024-04-03
(활)참돔,완도,중,kg,155.6,"20,000","4,000","9,800",2024-04-03
(선)참조기,제주도,61미,S/P,1,"700,000","700,000","700,000",2024-04-03
(활)칼바지락,중국,대,box,2,"13,100","13,100","13,100",2024-04-03
(활)가무락,영흥도,중,그물망,1,"185,400","185,400","185,400",2024-04-03
(활)감숭어,대천,중,kg,69.5,"5,000","1,500","3,300",2024-04-03
(선)고등어,부산(기장),대,S/P,96,"17,000","17,000","17,000",2024-04-03
(선)금태,나로도,5미,S/P,1,"120,000","120,000","120,000",2024-04-03
(선)금태,부산(기장),35미,S/P,1,"450,000","450,000","450,000",2024-04-03
(선)만디,마산,소,box,354,"14,000","5,000","10,000",2024-04-03
(선)민대구,제주도,대,S/P,1,"35,000","35,000","35,000",2024-04-03
(선)복어,부산(기장),대,S/P,100.6,"3,000","1,500","2,100",2024-04-03
(선)분홍새우,속초,중,S/P,54,"135,000","35,000","52,700",2024-04-03
(선)삼치,제주도,13미,S/P,2,"165,200","162,400","163,800",2024-04-03
(선)삼치,포항,대,S/P,79,"120,000","5,000","33,000",2024-04-03
(활)암꽃게,태안,소,kg,80,"20,000","16,000","17,000",2024-04-03
(활)암꽃게,태안,중,kg,55,"26,500","16,000","21,200",2024-04-03
(선)은갈치,제주도,7미,S/P,10,"190,000","188,000","189,200",2024-04-03
(활)잡어,통영,중,kg,27.3,"8,000","4,000","5,000",2024-04-03
(선)전어,군산,중,kg,125,"1,700","1,700","1,700",2024-04-03
