                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.095,                 2.7678,                 3.6357,                  1.485,                0.74425,                0.03617,                0.12114,                0.07582,                0.77778,                0.01166,                0.10447,                 0.0665,                  1.253,                 3.8358,                 3.3885,                  1.955,             0.00025064,             0.00025064,             0.00025064
                      2,                 1.0342,                 2.0345,                  2.771,                 1.4433,                0.49713,                0.34776,                 0.2887,                0.20399,                0.50232,                0.34204,                0.27582,                0.21132,                 1.1118,                 2.1616,                 2.5625,                 1.6255,             0.00045678,             0.00045678,             0.00045678
                      3,                 1.0901,                  2.081,                 2.5259,                 1.4598,                0.35585,                0.57632,                0.42583,                0.30305,                0.34455,                0.55702,                0.40483,                0.29951,                 1.0926,                 2.1703,                 2.8043,                 1.6209,             0.00061217,             0.00061217,             0.00061217
                      4,                 1.0493,                 1.9876,                 2.3483,                  1.424,                0.57366,                0.52337,                0.57276,                0.39984,                0.56697,                0.52149,                 0.5506,                0.41096,                 1.0528,                 1.8051,                 1.9224,                 1.5582,             0.00054061,             0.00054061,             0.00054061
                      5,                 1.0325,                  1.811,                 2.1309,                 1.3974,                0.45052,                0.58132,                0.52309,                0.36712,                0.45973,                0.52331,                0.49694,                0.38053,                 1.0311,                 1.8115,                 1.9219,                 1.5308,             0.00046448,             0.00046448,             0.00046448
                      6,                0.93764,                 1.7014,                 1.9124,                 1.3394,                0.61213,                0.56563,                 0.6426,                0.48482,                0.59731,                0.55934,                0.62372,                0.50236,                0.93049,                 1.5223,                  1.701,                 1.3943,             0.00038835,             0.00038835,             0.00038835
                      7,                0.90412,                 1.6285,                 1.7981,                 1.3077,                0.62545,                0.63966,                0.70374,                0.53179,                0.61584,                0.62577,                0.67794,                0.54334,                0.88284,                  1.437,                 1.5389,                 1.3625,             0.00031221,             0.00031221,             0.00031221
                      8,                0.82917,                 1.4695,                 1.6764,                 1.2306,                0.72031,                0.61354,                0.70796,                0.53991,                0.71585,                0.60931,                0.68787,                0.56227,                0.85141,                 1.3835,                 1.4431,                 1.3123,             0.00023608,             0.00023608,             0.00023608
                      9,                0.78943,                 1.3873,                 1.5283,                  1.207,                0.69213,                0.72427,                0.75461,                0.59557,                0.68267,                0.71555,                0.73967,                0.60665,                0.80173,                 1.2926,                 1.3975,                 1.2777,             0.00015995,             0.00015995,             0.00015995
                     10,                0.76215,                 1.3264,                 1.4627,                 1.1767,                0.77276,                0.72162,                0.80096,                0.63056,                0.72645,                 0.7359,                 0.7729,                 0.6452,                 0.7464,                 1.1973,                 1.2962,                 1.2451,             8.3821e-05,             8.3821e-05,             8.3821e-05
