                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94301,                 2.5556,                  3.627,                 1.2713,                0.00792,                0.91806,                0.11259,                 0.0739,                0.00777,                0.89836,                0.10089,                0.07005,                0.75409,                 1.7756,                 3.4581,                 1.2966,             0.00016918,             0.00016918,             0.00016918
                      2,                0.86185,                 1.7169,                 2.6065,                 1.2066,                0.76712,                0.05652,                0.33083,                0.22052,                0.76712,                0.05652,                0.31377,                0.23184,                 1.0049,                 1.7586,                 2.8546,                 1.4843,             0.00033749,             0.00033749,             0.00033749
                      3,                0.90156,                 1.6624,                 2.0991,                 1.2228,                0.42763,                0.28764,                0.37597,                0.25842,                0.42728,                0.28923,                0.36594,                 0.2623,                0.99109,                 1.9652,                 2.6028,                  1.519,             0.00049704,             0.00049704,             0.00049704
                      4,                0.88753,                  1.619,                 1.8753,                 1.2047,                0.45177,                0.56493,                0.47633,                0.33447,                0.45188,                0.52741,                 0.4543,                0.33207,                 1.0497,                 2.2216,                 2.0656,                 1.5857,             0.00064783,             0.00064783,             0.00064783
                      5,                0.91326,                 1.6788,                 1.8077,                 1.2266,                    0.4,                0.55865,                0.48683,                0.29837,                0.41775,                0.51056,                0.46651,                0.30998,                 1.1998,                 2.1386,                 2.5311,                 1.7393,             0.00069287,             0.00069287,             0.00069287
                      6,                0.87978,                 1.5639,                 1.6587,                  1.192,                0.47923,                0.61154,                0.55982,                0.37343,                0.50102,                0.54018,                0.51737,                0.36945,                 1.1036,                 2.1323,                 1.9913,                 1.6197,             0.00067384,             0.00067384,             0.00067384
                      7,                0.84711,                 1.5544,                 1.5119,                 1.1779,                0.62614,                0.66346,                0.67033,                0.47801,                0.61691,                0.63128,                0.64502,                0.45843,                 1.0232,                 2.0263,                 1.7512,                 1.5469,              0.0006548,              0.0006548,              0.0006548
                      8,                0.79735,                 1.4484,                 1.4339,                 1.1494,                 0.5426,                0.55417,                0.54308,                0.35282,                0.54273,                0.53194,                0.52012,                0.35773,                 1.0563,                  1.966,                 2.0314,                 1.5684,             0.00063577,             0.00063577,             0.00063577
                      9,                0.78881,                 1.4177,                 1.4064,                 1.1387,                0.65841,                0.54068,                0.59991,                0.41503,                0.65006,                0.52725,                0.57483,                0.43212,                 1.0059,                 1.7341,                 1.8441,                 1.5069,             0.00061674,             0.00061674,             0.00061674
                     10,                0.78847,                 1.4298,                 1.3393,                 1.1387,                0.69858,                0.69084,                0.73857,                0.55563,                 0.6688,                0.69523,                0.71557,                 0.5151,                0.89614,                 1.9147,                 1.4629,                 1.4205,             0.00059771,             0.00059771,             0.00059771
