,batch,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
   metrics/precision(M),64,0.00508,0.00541,0.00612,0.33801,0.44489,0.75943,0.60651,0.62768,0.56333,0.5772,0.60781,0.50755,0.62537,0.60216,0.70485,0.70276,0.7692,0.69055,0.78415,0.75416
      metrics/recall(M),64,0.85285,0.87806,0.87806,0.37133,0.23279,0.30545,0.44664,0.5076,0.46256,0.52262,0.378,0.33592,0.52322,0.52729,0.55985,0.49579,0.60886,0.67691,0.62708,0.6827
       metrics/mAP50(M),64,0.11176,0.17474,0.24829,0.29679,0.36048,0.42979,0.51522,0.56806,0.51811,0.57064,0.4498,0.31017,0.47343,0.57446,0.59394,0.54986,0.68568,0.72234,0.73797,0.76427
    metrics/mAP50-95(M),64,0.07523,0.12128,0.16944,0.20668,0.25422,0.28694,0.36188,0.40555,0.39652,0.44681,0.28316,0.18635,0.34459,0.42255,0.47073,0.44233,0.55119,0.58789,0.60933,0.6329
           val/box_loss,64,0.92864,1.0318,1.0909,1.0485,1.1191,1.2593,1.2609,1.1889,1.389,1.2867,1.27,1.6632,1.2954,1.2389,1.1108,1.1577,1.0879,1.037,1.0223,0.98883
           val/seg_loss,64,2.3655,2.7309,2.8334,2.4744,2.5149,2.5978,3.076,2.7321,3.1458,2.4967,2.8468,4.0933,2.7849,3.0246,2.4756,2.1483,2.1223,2.0613,1.9356,1.779
           val/cls_loss,64,3.6784,3.6444,3.4632,3.336,3.1188,3.103,2.833,2.5372,2.89,2.5834,2.7451,3.2203,2.5616,2.3967,2.1596,2.2058,1.8935,1.7609,1.7719,1.6297
           val/dfl_loss,64,1.3717,1.4371,1.4853,1.4037,1.4963,1.6319,1.6585,1.5878,1.7193,1.5954,1.6628,2.1965,1.7289,1.6508,1.4998,1.5164,1.4601,1.4078,1.3992,1.3709
                 lr/pg0,64,7e-05,0.00014258,0.00020723,0.00026397,0.00031278,0.00035367,0.00038665,0.00041171,0.00042884,0.00043805,0.00043935,0.00043272,0.000406,0.0003565,0.000307,0.0002575,0.000208,0.0001585,0.000109,5.95e-05
                 lr/pg1,64,7e-05,0.00014258,0.00020723,0.00026397,0.00031278,0.00035367,0.00038665,0.00041171,0.00042884,0.00043805,0.00043935,0.00043272,0.000406,0.0003565,0.000307,0.0002575,0.000208,0.0001585,0.000109,5.95e-05
