(선)가자미,보령,24미,c/s(상자),6,"15,000","15,000","15,000",2013-05-29
(선)갑오징어,보령,바라,c/s(상자),1,"15,000","15,000","15,000",2013-05-29
(선)게발,서산,중,망,1,"12,000","12,000","12,000",2013-05-29
(선)깐홍합,여수,소,box,67,"10,300","10,000","10,100",2013-05-29
(활)낙지,영광,중,미(마리),199,"6,000","3,300","5,100",2013-05-29
(냉)낙지,중국,중,CT/(BT),10,"25,000","25,000","25,000",2013-05-29
(선)넙치,군산,중,c/s(상자),53,"3,000","2,000","2,500",2013-05-29
(선)넙치,태안,중,S/P,336.3,"2,200",100,"1,300",2013-05-29
(선)돔,목포,4미,S/P,4,"30,000","30,000","30,000",2013-05-29
(선)명태,일본,19/20미,S/P,240,"37,000","37,000","37,000",2013-05-29
(선)삼치,여수,8미,S/P,5,"20,000","20,000","20,000",2013-05-29
(활)수꽃게,서산,대중,kg,419,"12,500","11,000","11,300",2013-05-29
(선)수조기,안흥,중,kg,27.4,"5,600","2,800","4,400",2013-05-29
(냉)아귀,중국,5미,CT/(BT),6,"32,000","32,000","32,000",2013-05-29
(선)양태,보령,대,S/P,2,"10,000","10,000","10,000",2013-05-29
(냉)오징어,제주도,진통,c/s(상자),20,"41,000","41,000","41,000",2013-05-29
(선)은갈치,제주도,11미,S/P,1,"140,000","140,000","140,000",2013-05-29
(선)은갈치,제주도,6미,S/P,13,"120,000","120,000","120,000",2013-05-29
(활)전복,완도,22미,kg,42.7,"24,000","24,000","24,000",2013-05-29
(활)전복,완도,10/11미,kg,21.3,"35,000","35,000","35,000",2013-05-29
(선)갑오징어,보령,8미,c/s(상자),81,"47,000","36,000","44,100",2013-05-29
(선)금태,제주도,26미,S/P,1,"50,000","50,000","50,000",2013-05-29
(선)대구,임원,5미,S/P,1,"100,000","100,000","100,000",2013-05-29
(활)돌게,태안,중,kg,305,"6,500","6,500","6,500",2013-05-29
(선)민달고기,제주도,중,S/P,2,"3,000","3,000","3,000",2013-05-29
(선)백조기,삼천포,3단,S/P,2,"50,000","50,000","50,000",2013-05-29
(활)봉바지락,기타(국내),대,box,30,"12,100","12,100","12,100",2013-05-29
(선)붉은대게,속초,중,S/P,37,"5,000","5,000","5,000",2013-05-29
(선)수꽃게,보령,중,S/P,2,"15,000","15,000","15,000",2013-05-29
(선)수조기,인천,중,c/s(상자),1,"60,000","60,000","60,000",2013-05-29
(선)오징어,남해,소,S/P,97,"8,000","8,000","8,000",2013-05-29
(선)전갱이,통영,8미,S/P,48,"12,000","12,000","12,000",2013-05-29
(활)전복,완도,11미,kg,32.7,"35,000","35,000","35,000",2013-05-29
(활)전복,완도,23/24미,kg,11,"23,000","23,000","23,000",2013-05-29
(활)진주담치,마산,소,그물망,10,"7,000","7,000","7,000",2013-05-29
(선)참가자미,군산,중,S/P,22,"28,000","25,000","27,700",2013-05-29
(선)참가자미,군산,소,S/P,14,"20,000","20,000","20,000",2013-05-29
(활)참돔,일본,중,kg,824.6,"20,000",500,"13,000",2013-05-29
(냉건)코다리명태,러시아,4X12,CT/(BT),15,"33,000","32,000","32,300",2013-05-29
(선)간재미,보령,8미,c/s(상자),2,"15,000","15,000","15,000",2013-05-29
(선)금태,목포,5단,S/P,1,"50,000","50,000","50,000",2013-05-29
