                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94301,                 2.5556,                  3.627,                 1.2713,                0.00792,                0.91806,                0.11259,                 0.0739,                0.00777,                0.89836,                0.10089,                0.07005,                0.75409,                 1.7756,                 3.4581,                 1.2966,             0.00016918,             0.00016918,             0.00016918
                      2,                0.86105,                 1.7159,                 2.6073,                 1.2046,                0.52415,                0.09467,                0.32467,                0.22351,                0.52415,                0.09467,                0.31593,                0.23385,                 0.9517,                 1.7297,                 2.7924,                 1.4512,             0.00032892,             0.00032892,             0.00032892
                      3,                0.89573,                 1.6503,                 2.0904,                 1.2244,                0.45606,                0.31949,                0.35503,                0.25019,                0.45522,                0.31585,                0.34417,                0.25171,                0.96497,                 1.8879,                 2.5514,                 1.4744,             0.00047115,             0.00047115,             0.00047115
                      4,                0.87902,                 1.5724,                 1.8493,                 1.2009,                0.42793,                0.43377,                0.40573,                 0.2648,                0.43094,                0.43102,                0.39248,                0.28312,                 1.0993,                 1.9218,                 2.1804,                  1.629,             0.00059587,             0.00059587,             0.00059587
                      5,                0.87851,                 1.6181,                 1.7897,                 1.2115,                0.49024,                0.47225,                0.53178,                0.33109,                0.43815,                 0.4728,                0.50398,                0.35021,                 1.1236,                 1.9193,                  2.165,                 1.6467,             0.00061674,             0.00061674,             0.00061674
                      6,                0.83698,                 1.5137,                 1.6235,                 1.1695,                0.51974,                0.52203,                0.53707,                0.34824,                0.51056,                0.50909,                0.51073,                0.35188,                  1.054,                 1.9446,                 2.1114,                 1.4926,             0.00057867,             0.00057867,             0.00057867
                      7,                0.83491,                 1.5164,                 1.5162,                 1.1673,                0.71573,                0.60441,                0.68866,                0.50192,                0.66991,                0.60748,                0.65889,                0.51409,                0.94143,                 1.7166,                 1.6584,                 1.4827,             0.00054061,             0.00054061,             0.00054061
                      8,                 0.7593,                 1.3752,                 1.4095,                 1.1291,                 0.5388,                0.62127,                0.62874,                0.45453,                0.53862,                 0.6134,                 0.6247,                 0.4793,                0.95308,                 1.7439,                 1.7733,                 1.4387,             0.00050254,             0.00050254,             0.00050254
                      9,                0.75087,                 1.3596,                 1.3469,                  1.122,                0.66395,                 0.6801,                0.71104,                0.50724,                0.69178,                0.63054,                0.68377,                 0.5244,                 0.9695,                 1.5614,                 1.5918,                 1.4769,             0.00046448,             0.00046448,             0.00046448
                     10,                0.74067,                 1.3562,                 1.3043,                  1.108,                0.69035,                0.76238,                0.78922,                0.58017,                0.67159,                0.73821,                0.76227,                0.60863,                0.88858,                 1.3953,                 1.4174,                 1.3608,             0.00042641,             0.00042641,             0.00042641
                     11,                0.82893,                 1.4718,                 1.6678,                 1.2535,                 0.7136,                0.66414,                0.73979,                0.54432,                0.69858,                0.63759,                0.71463,                0.56659,                0.90683,                 1.4544,                 1.5307,                 1.3868,             0.00038835,             0.00038835,             0.00038835
                     12,                0.75769,                 1.3303,                 1.4174,                 1.1967,                0.60674,                0.71735,                0.69323,                0.50022,                0.57782,                0.68167,                0.65485,                0.50978,                  0.884,                 1.4332,                  1.559,                 1.3523,             0.00035028,             0.00035028,             0.00035028
                     13,                0.73592,                  1.338,                 1.3123,                 1.1662,                0.73651,                0.76212,                0.79732,                0.60374,                0.71744,                0.74597,                0.76321,                 0.6055,                0.83641,                 1.4549,                 1.3122,                 1.3368,             0.00031221,             0.00031221,             0.00031221
                     14,                0.68821,                 1.1833,                 1.2308,                 1.1294,                  0.748,                0.73056,                 0.7856,                0.60541,                0.74971,                0.72267,                0.77312,                0.60273,                0.79182,                 1.2787,                 1.2626,                 1.2739,             0.00027415,             0.00027415,             0.00027415
                     15,                0.65854,                 1.1127,                 1.1784,                 1.1137,                0.66844,                0.75728,                0.76576,                0.61323,                0.68695,                0.71064,                0.74535,                0.60575,                0.73745,                 1.3102,                 1.1849,                 1.2421,             0.00023608,             0.00023608,             0.00023608
                     16,                0.67114,                 1.1007,                 1.1518,                 1.1023,                0.79673,                0.74618,                0.83977,                0.66577,                0.77259,                0.71976,                0.81003,                0.65543,                0.73926,                 1.1963,                 1.1093,                 1.2374,             0.00019802,             0.00019802,             0.00019802
                     17,                0.63408,                 1.0437,                 1.0825,                 1.0944,                0.82273,                0.80799,                0.86004,                0.69605,                 0.8115,                0.80053,                0.84525,                0.69116,                 0.7045,                 1.1293,                 1.0075,                 1.2155,             0.00015995,             0.00015995,             0.00015995
                     18,                0.61647,                 1.0319,                 1.0258,                 1.0857,                0.82053,                0.79667,                 0.8574,                0.68529,                0.80685,                0.78417,                0.83494,                 0.6966,                0.71754,                 1.1657,                 1.0242,                  1.217,             0.00012189,             0.00012189,             0.00012189
                     19,                0.59762,                0.94868,                0.99195,                 1.0539,                0.87637,                0.78221,                0.88179,                0.71938,                0.87089,                0.77497,                0.86679,                0.71161,                0.68917,                 1.1041,                0.96979,                 1.1838,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     20,                0.55068,                0.92215,                0.95362,                 1.0328,                0.86079,                0.78015,                 0.8801,                0.72826,                  0.859,                0.76037,                0.85739,                0.72063,                0.66805,                  1.076,                0.94191,                 1.1817,             4.5756e-05,             4.5756e-05,             4.5756e-05
