(활)겉바지락,고창,대,그물망,73,"50,000","32,000","37,700",2010-10-29
(선)깐홍합,여수,소,box,279,"14,000","9,500","12,000",2010-10-29
(선)대구,안흥,8미,c/s(상자),20,"45,000","40,500","43,500",2010-10-29
(활)돌게,태안,중,kg,244,"4,000","4,000","4,000",2010-10-29
(활)봉바지락,기타(국내),대,box,116,"9,000","9,000","9,000",2010-10-29
(선)붉은대게,속초,중,S/P,22,"3,000","3,000","3,000",2010-10-29
(활)삼세기,서산,중,kg,114.7,"4,000","3,000","3,200",2010-10-29
(냉)삼치,부산(기장),중,CT/(BT),10,"20,000","20,000","20,000",2010-10-29
(냉)아귀,중국,5미,CT/(BT),20,"80,000","36,000","58,000",2010-10-29
(활)오징어,주문진,중,미(마리),800,"1,000","1,000","1,000",2010-10-29
(선)오징어,거진,20미,S/P,1,"5,000","5,000","5,000",2010-10-29
(선)오징어,강구,20미,S/P,378,"32,000","23,000","29,000",2010-10-29
(선)은갈치,제주도,6미,S/P,2,"240,000","240,000","240,000",2010-10-29
(선)은갈치,여수,17미,S/P,2,"100,000","100,000","100,000",2010-10-29
(선)은갈치,제주도,20미,S/P,53,"37,000","20,000","28,800",2010-10-29
(선)은갈치,제주도,34미,S/P,1,"30,000","30,000","30,000",2010-10-29
(활)전복,완도,10/11미,kg,44.1,"41,000","40,000","40,300",2010-10-29
(활)참돔,일본,중,kg,"2,004.4","20,000","2,000","15,800",2010-10-29
(활)털게,일본,중,kg,315,"25,000","6,000","13,200",2010-10-29
(선)가자미,군산,중,S/P,42,"10,000","10,000","10,000",2010-10-29
(선)고등어,부산(기장),35미,S/P,1,"20,000","20,000","20,000",2010-10-29
(선)골뱅이,속초,중,S/P,152,"8,000","8,000","8,000",2010-10-29
(선)낙지,중국,18미,box,158,"32,000","28,000","30,300",2010-10-29
(선)넙치,서산,중,kg,10.1,"13,000","2,000","10,300",2010-10-29
(선)도루묵,동해시,10미,S/P,55,"5,000","5,000","5,000",2010-10-29
(선)병어,삼천포,44미,S/P,8,"80,000","80,000","80,000",2010-10-29
(선)병어,부산(기장),42미,S/P,13,"80,000","80,000","80,000",2010-10-29
(냉)부세,중국,300/400,CT/(BT),30,"31,500","31,500","31,500",2010-10-29
