(선)간재미,목포,10미,c/s(상자),12,"15,000","10,000","11,700",2016-05-18
(선)간재미,군산,중,kg,22,"1,300",500,600,2016-05-18
(선)깐홍합,여수,소,box,153,"6,600","4,000","5,600",2016-05-18
(냉)낙지,중국,대,CT/(BT),5,"30,000","30,000","30,000",2016-05-18
(선)넙치,대천,중,S/P,108.9,500,500,500,2016-05-18
(활)농어,격포,중,kg,61.2,"20,000","2,500","9,300",2016-05-18
(냉)명태,러시아,7통,CT/(BT),60,"15,000","15,000","15,000",2016-05-18
(활)민어,완도,중,kg,7.6,"35,000","35,000","35,000",2016-05-18
(선)새치,동해시,중,S/P,132,"6,000","5,000","5,800",2016-05-18
(선)새치,속초,20미,S/P,71,"5,000","5,000","5,000",2016-05-18
(선)아귀,목포,중,c/s(상자),15,"10,000","10,000","10,000",2016-05-18
(냉)아귀,중국,4미,CT/(BT),101,"100,000","38,000","38,600",2016-05-18
(냉)아귀,중국,5미,CT/(BT),4,"100,000","100,000","100,000",2016-05-18
(냉)오징어,후포,중,S/P,250,"32,500","32,500","32,500",2016-05-18
(선)은갈치,제주도,6미,S/P,6,"230,000","65,000","102,500",2016-05-18
(선)은갈치,제주도,20미,S/P,15,"80,000","10,000","70,700",2016-05-18
(활)재첩,중국,대,포,1,"35,000","35,000","35,000",2016-05-18
(활)전복,완도,10/11미,kg,77.3,"31,000","28,000","29,300",2016-05-18
(선)전어,속초,20미,S/P,112,"6,000","4,000","5,100",2016-05-18
(냉)쭈꾸미,중국,대,CT/(BT),2,"18,000","18,000","18,000",2016-05-18
(선)간재미,태안,중,kg,347,"2,500","1,200","1,600",2016-05-18
(선)갑오징어,보령,8미,c/s(상자),6,"96,000","96,000","96,000",2016-05-18
(활)겉바지락,남해,대,그물망,15,"50,000","50,000","50,000",2016-05-18
(활)농어,군산,중,kg,168.9,"10,000","2,000","4,000",2016-05-18
(선)대구,죽변,1미,S/P,4,"33,000","27,000","30,000",2016-05-18
(활)돌게,태안,중,kg,573,"8,500","8,100","8,400",2016-05-18
(선)삼치,태안,12미,S/P,41,"22,000","22,000","22,000",2016-05-18
(선)삼치,제주도,5미,S/P,16,"40,000","40,000","40,000",2016-05-18
(선)새치,거진,중,S/P,1,"80,000","80,000","80,000",2016-05-18
(활)소라,순천,대,box,9,"63,200","48,300","57,500",2016-05-18
(선)오징어,강구,20미,S/P,150,"28,000","28,000","28,000",2016-05-18
(냉건)오징어채,기타(원양),대,CT/(BT),2,"25,000","25,000","25,000",2016-05-18
(활)왕게,러시아,중,kg,"1,363.3","26,000","1,000","20,800",2016-05-18
(선)은갈치,제주도,2미,S/P,1,"150,000","150,000","150,000",2016-05-18
(선)은갈치,제주도,25미,S/P,1,"75,000","75,000","75,000",2016-05-18
(활)전복,완도,11미,kg,39.5,"28,000","27,000","27,200",2016-05-18
(선)쭈꾸미,군산,중,box,24,"70,000","48,000","61,800",2016-05-18
(선)참가자미,군산,중,S/P,12,"50,000","50,000","50,000",2016-05-18
(활)참돔,서천,중,kg,870.1,"25,000","3,000","10,500",2016-05-18
(활)참돔,일본,중,kg,"1,029.9","17,500","2,000","12,100",2016-05-18
(활)가무락,순천,대,그물망,1,"145,300","145,300","145,300",2016-05-18
(선)갈치,일본,12미,S/P,8,"180,000","180,000","180,000",2016-05-18
(냉)갈치(H/G),세네갈,300/500,CT/(BT),10,"60,000","60,000","60,000",2016-05-18
(활)감성돔,통영,4미,kg,5.5,"3,000","3,000","3,000",2016-05-18
(활)감숭어,여수,중,kg,467,"6,000",100,"1,000",2016-05-18
(선)꽁치,축산,60미,c/s(상자),52,"20,000","20,000","20,000",2016-05-18
(선)낙지,중국,5미,box,43,"15,200","15,200","15,200",2016-05-18
(활)도다리,대천,중,kg,98,"11,000","1,500","8,300",2016-05-18
(선)방어,여수,중,c/s(상자),10,"10,000","10,000","10,000",2016-05-18
(선)삼치,인천,중,S/P,177.5,"68,000","5,000","8,400",2016-05-18
(활)소라,장항,특대,box,8,"66,000","66,000","66,000",2016-05-18
(활)우럭,안흥,중,kg,22.7,"13,000","1,000","7,200",2016-05-18
(선)우럭,충무,중,kg,224.2,"18,000","5,400","11,700",2016-05-18
(선)은갈치,제주도,8미,S/P,5,"195,000","65,000","91,000",2016-05-18
(선)전갱이,삼천포,중,S/P,5,"20,000","20,000","20,000",2016-05-18
(활)전복,완도,17/18미,kg,45.4,"27,000","23,000","25,000",2016-05-18
(활)전복,완도,35/40미,kg,58.2,"13,000","13,000","13,000",2016-05-18
(활)참돔,일본,소,kg,28.7,"17,000","5,500","13,700",2016-05-18
(활)칡게,여수,중,그물망,9,"18,000","18,000","18,000",2016-05-18
(가공)코다리,러시아,4X14,CT/(BT),4,"41,000","40,500","40,800",2016-05-18
(선)갈치,일본,7미,S/P,3,"130,000","130,000","130,000",2016-05-18
(선)고등어,포항,12미,S/P,10,"30,000","30,000","30,000",2016-05-18
(선)금태,제주도,중,S/P,2,"150,000","150,000","150,000",2016-05-18
(선)깐바지락,여수,대,box,10,"80,000","80,000","80,000",2016-05-18
(활)넙치,서산,소,kg,2.5,"4,000","2,000","3,100",2016-05-18
(활)물바지락,남해,대,box,4,"40,000","40,000","40,000",2016-05-18
(냉)민물새우,인도,중,CT/(BT),50,"20,000","20,000","20,000",2016-05-18
(선)병어,부산(기장),중,S/P,1,"300,000","300,000","300,000",2016-05-18
(선)삼치,태안,중,S/P,6,"100,000","60,000","73,300",2016-05-18
(선)양태,군산,중,kg,24.9,"4,500","1,000","2,000",2016-05-18
(선)오징어,강구,소,S/P,200,"10,000","10,000","10,000",2016-05-18
(선)은갈치,제주도,4미,S/P,2,"230,000","230,000","230,000",2016-05-18
(선)잿방어,여수,중,S/P,61.6,"8,000","2,000","4,200",2016-05-18
(선)전갱이,제주도,중,S/P,5,"70,000","70,000","70,000",2016-05-18
(활)전복,완도,9/10미,kg,33.1,"34,000","31,000","32,000",2016-05-18
(선)쭈꾸미,장항,중,box,5,"60,000","60,000","60,000",2016-05-18
(냉)청어,러시아,진통,CT/(BT),100,"23,000","23,000","23,000",2016-05-18
(활)토바지락,중국,대,box,156,"4,300","3,600","4,100",2016-05-18
(선)학꽁치,통영,22미,S/P,1,"30,000","30,000","30,000",2016-05-18
(냉)흰다리새우,에콰도르,50미,kg,72,"9,000","9,000","9,000",2016-05-18
(선)갑오징어,강구,중,S/P,34,"11,000","1,000","7,500",2016-05-18
(선)고등어,축산,중,S/P,9,"20,000","20,000","20,000",2016-05-18
(선)깐굴,통영,소,box,222,"14,500","4,000","9,800",2016-05-18
(활)넙치,격포,중,kg,572.7,"18,000","2,500","9,600",2016-05-18
(활)농어,서산,중,kg,315,"13,500","2,500","5,100",2016-05-18
(선)대구,임원,중,S/P,17,"150,000","40,000","94,200",2016-05-18
(선)만디,고성,소,box,10,"10,200","2,100","4,500",2016-05-18
(선)민물새우,태안,소,box,10,"10,000","10,000","10,000",2016-05-18
(선)병어,목포,20미,S/P,10,"254,000","254,000","254,000",2016-05-18
(선)붉은대게,방어진,중,c/s(상자),45,"10,000","10,000","10,000",2016-05-18
(선)삼치,통영,10미,S/P,10,"15,000","15,000","15,000",2016-05-18
(선)새치,대진,18미,S/P,30,"5,000","5,000","5,000",2016-05-18
(선)서대,군산,중,kg,13.4,"7,000","3,000","5,600",2016-05-18
