                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90226,                 2.2345,                 3.3379,                 1.2597,                0.46416,                0.15442,                 0.1959,                0.14583,                0.45559,                0.15007,                0.18535,                0.14121,                0.93645,                 1.8375,                 2.9264,                 1.4752,             0.00025349,             0.00025349,             0.00025349
                      2,                0.98406,                 1.8999,                 2.4422,                 1.3001,                0.35476,                0.47272,                0.37343,                0.24424,                 0.3478,                0.45242,                0.35505,                0.25053,                  1.149,                 1.9639,                 2.5394,                 1.6638,             0.00050477,             0.00050477,             0.00050477
                      3,                0.98897,                 1.8301,                 2.2216,                 1.2865,                0.44102,                0.47451,                0.41075,                0.29356,                0.43263,                 0.4658,                 0.3952,                0.29607,                 1.0499,                 1.7875,                 2.1939,                 1.5489,             0.00075098,             0.00075098,             0.00075098
                      4,                0.98214,                 1.8149,                   2.05,                 1.2856,                0.52877,                0.54082,                0.54563,                0.36392,                0.54215,                0.51939,                0.52304,                0.37834,                 1.0622,                 1.7132,                 2.3697,                  1.606,             0.00074616,             0.00074616,             0.00074616
                      5,                0.91616,                 1.6801,                 1.8678,                  1.251,                 0.6255,                0.59317,                 0.6362,                0.44983,                0.59579,                 0.5758,                0.61289,                0.44731,                0.99838,                 1.9544,                 1.7571,                 1.5338,             0.00073855,             0.00073855,             0.00073855
                      6,                0.89815,                 1.6519,                 1.7898,                 1.2299,                 0.6008,                0.57673,                 0.6143,                0.44344,                 0.5724,                0.56438,                0.58885,                 0.4226,                 1.0234,                 1.7767,                 1.9186,                 1.5124,             0.00073093,             0.00073093,             0.00073093
                      7,                0.88564,                 1.6187,                  1.715,                 1.2129,                0.62946,                0.52826,                0.55025,                0.38864,                0.60373,                0.50348,                0.50899,                0.33217,                 1.0475,                 2.1256,                  1.889,                 1.4862,             0.00072332,             0.00072332,             0.00072332
                      8,                0.88755,                 1.6279,                 1.6945,                 1.2286,                0.70705,                0.61096,                0.66881,                0.47792,                0.69219,                0.60053,                0.64434,                0.46575,                0.98315,                 1.6505,                 1.6363,                  1.496,             0.00071571,             0.00071571,             0.00071571
                      9,                0.88861,                 1.6497,                 1.6133,                 1.2146,                0.65644,                0.63244,                0.69545,                0.49558,                0.64047,                0.62221,                0.66787,                0.49892,                 1.0173,                 1.6507,                 1.6798,                 1.5053,              0.0007081,              0.0007081,              0.0007081
                     10,                0.85131,                 1.5724,                 1.5141,                  1.182,                0.78129,                0.65232,                0.73944,                0.55066,                0.77109,                0.64384,                0.72882,                0.56988,                0.92175,                 1.4507,                  1.394,                 1.4283,             0.00070048,             0.00070048,             0.00070048
                     11,                0.82303,                 1.4565,                 1.4657,                 1.1703,                0.77656,                0.62395,                0.74503,                0.57345,                 0.7574,                0.60463,                0.70674,                0.55842,                0.86853,                 1.4232,                 1.6092,                 1.3846,             0.00069287,             0.00069287,             0.00069287
                     12,                 0.7981,                 1.4217,                 1.4066,                 1.1576,                0.70284,                0.65877,                0.72163,                0.53509,                0.64868,                0.64535,                0.68193,                0.51324,                0.95487,                 1.5347,                 1.4601,                 1.4935,             0.00068526,             0.00068526,             0.00068526
                     13,                0.80615,                  1.483,                 1.4148,                 1.1715,                 0.7204,                0.75009,                0.78384,                0.57453,                0.67856,                0.75741,                0.74464,                0.58639,                0.94119,                 1.4764,                 1.3104,                  1.456,             0.00067764,             0.00067764,             0.00067764
                     14,                0.76635,                 1.3816,                 1.3627,                 1.1451,                0.73084,                0.66803,                0.72645,                 0.5246,                0.70383,                 0.6367,                0.69057,                0.50632,                0.98589,                 1.6746,                 1.4243,                 1.5273,             0.00067003,             0.00067003,             0.00067003
                     15,                0.77984,                 1.3497,                 1.3238,                 1.1463,                0.65759,                0.72803,                0.73244,                0.54513,                0.66561,                0.66927,                0.70222,                0.55119,                0.93104,                 1.4453,                  1.414,                 1.4507,             0.00066242,             0.00066242,             0.00066242
                     16,                0.78124,                 1.4334,                 1.2839,                  1.152,                0.77627,                0.75995,                0.81286,                0.61439,                0.76116,                0.73649,                0.78171,                0.60396,                0.89533,                 1.4344,                 1.2099,                 1.4217,              0.0006548,              0.0006548,              0.0006548
                     17,                0.77547,                 1.3571,                 1.2493,                 1.1415,                0.73267,                0.72857,                0.80883,                0.59206,                0.71385,                0.71092,                0.77838,                0.61223,                0.93105,                 1.3925,                 1.2098,                  1.429,             0.00064719,             0.00064719,             0.00064719
                     18,                0.76064,                 1.3226,                 1.2043,                 1.1268,                0.72355,                0.75206,                0.78342,                0.58868,                0.71526,                0.74152,                0.76622,                0.59735,                0.88393,                 1.3675,                 1.2212,                 1.3955,             0.00063958,             0.00063958,             0.00063958
                     19,                0.77473,                 1.3475,                 1.2134,                 1.1356,                0.81915,                0.71613,                0.81167,                0.61974,                0.76254,                0.73925,                  0.802,                0.63039,                0.87086,                 1.2999,                 1.1177,                 1.3636,             0.00063196,             0.00063196,             0.00063196
                     20,                0.75565,                 1.3191,                 1.1424,                 1.1307,                0.73728,                0.74129,                0.78201,                0.60156,                0.72708,                0.72381,                0.75815,                0.60261,                0.86644,                 1.3352,                 1.2795,                 1.3669,             0.00062435,             0.00062435,             0.00062435
                     21,                 0.7145,                 1.2906,                 1.1027,                 1.1058,                0.70136,                0.78733,                0.81257,                0.61347,                0.68662,                0.77207,                0.78035,                0.61057,                0.90169,                 1.3393,                 1.1277,                 1.4044,             0.00061674,             0.00061674,             0.00061674
                     22,                0.73345,                 1.3546,                 1.1079,                 1.1084,                0.83875,                0.70637,                0.80875,                0.61664,                0.80772,                0.69594,                0.77601,                0.61346,                0.90282,                 1.3574,                 1.1229,                 1.4203,             0.00060912,             0.00060912,             0.00060912
                     23,                0.73162,                 1.3003,                 1.1169,                 1.1179,                0.73086,                0.74703,                0.81574,                0.63888,                0.73561,                0.73408,                0.79721,                0.62844,                0.84929,                 1.3498,                 1.1264,                 1.3787,             0.00060151,             0.00060151,             0.00060151
                     24,                0.73535,                 1.3091,                 1.0956,                 1.1139,                0.81032,                0.75453,                0.85537,                0.65663,                0.77694,                0.73211,                0.81615,                0.64495,                0.83324,                 1.3363,                0.96854,                 1.3757,              0.0005939,              0.0005939,              0.0005939
                     25,                0.68411,                 1.1992,                 1.0353,                 1.0809,                0.74625,                0.81694,                0.84215,                0.65279,                0.73866,                0.80666,                0.81983,                0.65198,                0.81829,                 1.2979,                 1.0666,                 1.3377,             0.00058629,             0.00058629,             0.00058629
                     26,                  0.685,                 1.1875,                 1.0525,                 1.0948,                0.75761,                0.75648,                0.81917,                0.66014,                0.80584,                0.70317,                0.80244,                0.64539,                0.82176,                 1.3959,                 1.0962,                 1.3438,             0.00057867,             0.00057867,             0.00057867
                     27,                0.67815,                   1.17,                0.98714,                 1.0812,                0.76521,                0.78744,                0.85785,                0.65821,                0.79915,                0.75367,                0.83407,                0.66059,                0.82533,                 1.3078,                 0.9515,                 1.3294,             0.00057106,             0.00057106,             0.00057106
