(선)깐홍합,여수,소,box,101,"12,100","5,000","11,300",2019-11-31
(활)낙지,대천,12미,그물망,1,"33,600","33,600","33,600",2019-11-31
(선)물메기,군산,2미,kg,31,"17,000","13,000","14,900",2019-11-31
(선)민대구,제주도,중,S/P,1,"20,000","20,000","20,000",2019-11-31
(선)민어,완도,중,S/P,2,"100,000","100,000","100,000",2019-11-31
(활)방어,후포,중,kg,433.2,"14,000","8,000","9,900",2019-11-31
(활)소라,순천,대,box,5,"146,000","95,000","135,400",2019-11-31
(선)옥돔,제주도,7미,S/P,1,"247,000","247,000","247,000",2019-11-31
(활)왕게,러시아,중,kg,"4,187.6","77,000","10,000","68,400",2019-11-31
(선)은갈치,제주도,25미,S/P,40,"38,000","17,000","33,300",2019-11-31
(선)은갈치,제주도,20미,S/P,36,"36,000","20,000","30,300",2019-11-31
(선)은갈치,제주도,6미,S/P,6,"180,000","142,000","173,700",2019-11-31
(활)전복,완도,10/11미,kg,124.6,"33,000","31,000","31,800",2019-11-31
(선)쭈꾸미,군산,중,box,3,"20,000","20,000","20,000",2019-11-31
(선)참가자미,군산,중,S/P,8,"150,000","50,000","107,600",2019-11-31
(활)참돔,일본,중,kg,"4,287.2","20,000","2,000","15,600",2019-11-31
(활)참돔,제주도,중,kg,79.4,"35,000","15,000","30,600",2019-11-31
(선)참돔,완도,중,S/P,11.8,"200,000","5,000","21,500",2019-11-31
(선)키조개,군산,7코,box,1,"49,000","49,000","49,000",2019-11-31
(활)해삼,여수,10봉,box,3,"32,000","32,000","32,000",2019-11-31
(활)가리비,마산,중,box,25,"28,100","25,500","26,100",2019-11-31
(선)가오리,축산,중,S/P,14.1,"8,000","6,500","7,400",2019-11-31
(선)갑오징어,군산,10미,box,46,"20,200","18,300","18,700",2019-11-31
(활)농어,군산,중,kg,24.1,"15,000","5,000","10,900",2019-11-31
(활)문어,고흥,중,kg,113,"18,000","12,000","17,300",2019-11-31
(선)물메기,군산,3미,kg,60,"16,000","13,000","14,800",2019-11-31
(선)물메기,서천,3미,kg,17,"13,000","13,000","13,000",2019-11-31
(선)방어,동해시,중,kg,167.7,"7,000","5,000","6,400",2019-11-31
(선)백조기,제주도,중,S/P,31,"60,000","5,000","45,200",2019-11-31
(선)복어,제주도,중,S/P,26.5,"13,000","4,000","10,800",2019-11-31
(활)소라,중국,대,box,28,"140,000","100,000","115,900",2019-11-31
(활)수꽃게,군산,중소,kg,7,"18,000","18,000","18,000",2019-11-31
(활)암꽃게,고흥,소,kg,5,"15,000","15,000","15,000",2019-11-31
(냉)왕게,러시아,중,kg,503,"8,000","7,000","7,600",2019-11-31
(선)우럭,충무,중,kg,163.5,"15,500","9,000","12,900",2019-11-31
(선)은갈치,제주도,8미,S/P,51,"160,000","142,000","151,500",2019-11-31
(활)전복,완도,중,kg,"1,064.4","50,000","10,000","29,800",2019-11-31
(활)전복,완도,23/24미,kg,45.5,"29,000","29,000","29,000",2019-11-31
(활)전복,완도,17/18미,kg,11.5,"32,000","32,000","32,000",2019-11-31
(선)참돔,일본,중,kg,12.7,"4,000","4,000","4,000",2019-11-31
(선)갈치,추자도,중,S/P,9,"360,000","360,000","360,000",2019-11-31
(활)감성돔,중국,중,kg,92.9,"45,000","13,000","30,500",2019-11-31
(선)갯장어,제주도,중,S/P,2,"73,500","61,000","67,300",2019-11-31
(활)겉삐뚜리,군산,대,box,1,"71,100","71,100","71,100",2019-11-31
(선)까치복,통영,중,S/P,18.4,"6,000","4,000","5,300",2019-11-31
(선)깐굴,남해,소,box,801,"33,200","24,500","29,000",2019-11-31
(선)낙지,중국,6미,box,68,"20,600","20,000","20,400",2019-11-31
(선)낙지,중국,12미,box,46,"20,700","20,500","20,600",2019-11-31
(선)대포오징어,죽변,중,S/P,1,"200,000","200,000","200,000",2019-11-31
(선)돔,부산(기장),중,S/P,"1,241.2","6,000","4,200","4,900",2019-11-31
(활)방어,동해시,중,kg,"4,375.5","20,000","4,000","12,600",2019-11-31
(냉)수꽃게,중국,200/300,S/P,140,"25,000","25,000","25,000",2019-11-31
(선)아귀,포항,중,S/P,23.6,"2,500","2,500","2,500",2019-11-31
(선)옥돔,제주도,5미,S/P,6,"190,000","190,000","190,000",2019-11-31
(선)은갈치,제주도,4미,S/P,1,"160,000","160,000","160,000",2019-11-31
(활)재첩,군산,대,포,4,"26,300","26,300","26,300",2019-11-31
(활)전복,완도,9/10미,kg,123.3,"37,000","31,000","32,500",2019-11-31
(활)전복,완도,10미,kg,22.3,"30,000","30,000","30,000",2019-11-31
(선)참가자미,방어진,중,S/P,6,"321,000","300,000","309,300",2019-11-31
(활)칼바지락,중국,중,box,215,"13,800","10,700","12,300",2019-11-31
(선)갑오징어,군산,3코,box,6,"23,500","23,500","23,500",2019-11-31
(활)강도다리,제주도,중,kg,343.1,"22,000","4,000","18,200",2019-11-31
(선)깐굴,통영,소,box,"1,979","35,500","21,300","23,500",2019-11-31
(선)대구,군산,12미,c/s(상자),5,"50,000","50,000","50,000",2019-11-31
(활)돔,일본,중,kg,98.3,"18,000","9,500","12,400",2019-11-31
(활)물바지락,삼천포,대,box,11,"55,000","53,000","53,200",2019-11-31
(선)복어,목포,중,S/P,92.9,"13,000","3,500","7,700",2019-11-31
(활)뿔소라,제주도,대,box,10,"73,000","70,000","70,600",2019-11-31
(활)새꼬막,군산,중,box,1,"20,000","20,000","20,000",2019-11-31
(선)아귀,중국,중,S/P,97,"56,000","45,000","45,200",2019-11-31
(활)암꽃게,태안,대,kg,35,"53,000","53,000","53,000",2019-11-31
(선)연자돔,제주도,20미,S/P,1,"155,000","155,000","155,000",2019-11-31
(선)오징어,후포,중,S/P,68,"72,000","33,000","71,400",2019-11-31
(선)잡어,통영,중,S/P,17.6,"50,000","4,000","19,700",2019-11-31
(활)전복,완도,소,kg,127.3,"3,000","2,000","2,200",2019-11-31
(선)점성어,중국,중,kg,19.2,"1,000","1,000","1,000",2019-11-31
(활)진주담치,마산,대,그물망,12,"8,800","8,800","8,800",2019-11-31
(선)참가자미,목포,중,S/P,69.8,"150,000","10,000","22,000",2019-11-31
(선)참조기,제주도,170/175미,S/P,8,"120,000","110,000","116,900",2019-11-31
(선)참조기,제주도,중,S/P,4,"490,000","400,000","422,500",2019-11-31
(선)깐굴,마산,소,box,6,"18,500","18,500","18,500",2019-11-31
(선)깐바지락,삼천포,소,box,193,"25,500","17,200","20,200",2019-11-31
(선)깐바지락,여수,소,box,56,"17,500","13,000","14,900",2019-11-31
(선)깐홍합,마산,소,box,10,"16,000","11,200","12,600",2019-11-31
(선)농어,통영,중,S/P,62.4,"4,000","4,000","4,000",2019-11-31
(선)다랑어,포항,중,S/P,80.6,"70,000","6,000","15,600",2019-11-31
(선)만디,마산,2봉,box,41,"10,100","7,700","9,400",2019-11-31
(선)물메기,군산,중,kg,8,"17,000","15,000","15,800",2019-11-31
(선)미더덕,마산,소,box,84,"12,000","5,000","8,200",2019-11-31
(선)민어,제주도,중,S/P,21,"300,000","90,000","105,100",2019-11-31
(활)방어,고성,중,kg,"1,316.2","13,500","7,000","10,300",2019-11-31
(선)백조기,제주도,70미,S/P,2,"80,000","80,000","80,000",2019-11-31
(활)붕장어,통영,중,kg,115,"8,000","7,000","7,900",2019-11-31
(선)삼치,제주도,12미,S/P,3,"37,000","37,000","37,000",2019-11-31
(선)연자돔,제주도,13미,S/P,1,"136,000","136,000","136,000",2019-11-31
(활)전복,완도,50/60미,kg,67.3,"6,000","5,000","5,300",2019-11-31
(활)참돔,통영,중,kg,"1,358.1","17,000","3,500","12,000",2019-11-31
(선)참조기,제주도,100미,S/P,1,"500,000","500,000","500,000",2019-11-31
(냉)참조기,제주도,중,S/P,1,"153,000","153,000","153,000",2019-11-31
(활)해삼,통영,소,box,85,"38,000","32,000","36,300",2019-11-31
(선)가자미,제주도,중,S/P,3,"130,000","72,000","104,000",2019-11-31
(선)간재미,대부도,중,kg,275,"5,000",700,"2,900",2019-11-31
(활)개조개,여수,15미,box,14,"48,100","46,500","47,600",2019-11-31
(활)겉우렁(큰구슬우렁이),장항,중,box,3,"15,300","15,300","15,300",2019-11-31
(선)깐굴,사천,소,box,267,"30,300","25,100","27,900",2019-11-31
(선)깐굴,고흥,중,box,150,"41,100","36,000","37,800",2019-11-31
(선)낙지,중국,25미,box,50,"21,200","21,200","21,200",2019-11-31
(활)농어,통영,중,kg,63.8,"27,000","1,000","16,000",2019-11-31
(선)만디,여수,소,box,20,"5,600","5,600","5,600",2019-11-31
(활)방어,통영,중,kg,"1,362.6","14,500","5,500","10,600",2019-11-31
(선)붕장어,제주도,중,S/P,3,"180,000","33,000","120,300",2019-11-31
(선)삼치,강구,중,S/P,9,"70,000","54,000","61,300",2019-11-31
(활)새꼬막,순천,중,그물망,873,"66,600","19,600","51,400",2019-11-31
(선)아귀,포항,중,c/s(상자),633.4,"3,000","1,500","2,100",2019-11-31
(활)암꽃게,군산,대중,kg,45,"48,000","41,000","46,100",2019-11-31
(선)연자돔,제주도,24미,S/P,2,"120,000","120,000","120,000",2019-11-31
(활)전복,완도,8/9미,kg,112.5,"35,000","33,000","33,800",2019-11-31
(활)진주담치,태안,중,그물망,2,"10,000","10,000","10,000",2019-11-31
(활)참숭어,고흥,중,kg,36.6,"13,000","4,000","9,700",2019-11-31
